Código,Nº Oficial,Grupo,Título,Tipo,Palabras,Prioridad,Dominio
G1,1,General,"La Constitución Española de 1978: Estructura; Título Preliminar; Derechos y Deberes Fundamentales (Título I); La Corona (Título II)",Articulado,4730,,
G2,2,General,"LORAFNA — Ley Orgánica 13/1982 de Reintegración y Amejoramiento del Régimen Foral de Navarra: Título Preliminar; Facultades y competencias de Navarra (Título II)",Articulado,2301,,
G3,3,General,"Ley de Bases de Régimen Local (LBRL): organización y funcionamiento de los órganos municipales necesarios (Cap. II art. 122 y ss.) [INCIDENCIA: sin encabezado de tema]",Articulado,10810,,
G4,4,General,"Ley Foral 6/1990 de la Administración Local de Navarra",Articulado,2736,,
G5,5,General,"Ley 40/2015 de Régimen Jurídico del Sector Público",Articulado,5305,,
G6,6,General,"Ley 39/2015 del Procedimiento Administrativo Común (I): Títulos I–III (principios interesados actos)",Articulado,13110,,
G7,7,General,"Ley 39/2015 del Procedimiento Administrativo Común (II): Procedimiento (Título IV); Revisión actos (Título V); impugnación entidades locales Navarra",Articulado,14585,,
G8,8,General,"Decreto Foral Legislativo 251/1993 — Texto Refundido del Estatuto de la Función Pública de Navarra",Articulado,15412,,
G9,9,General,"Ley Foral 5/2018 de Transparencia acceso a la información pública y buen gobierno de Navarra",Articulado,16377,,
G10,10,General,"Protección de datos personales: Reglamento (UE) 2016/679 (RGPD) y Ley Orgánica 3/2018 (LOPD-GDD)",Articulado,11913,,
G11,11,General,"Igualdad de género: Ley Orgánica 3/2007 para la igualdad efectiva de mujeres y hombres",Articulado,5264,,
G12,12,General,"Estrategia de Transición Energética y Cambio Climático (síntesis de política energética nacional)",Síntesis,4076,,
G13,13,General,"Bienes de las entidades locales — Ley Foral 6/1990 Administración Local de Navarra: Título VII (bienes y contratos)",Articulado,8641,,
E1,1,Específico,"Ley 38/1999 de Ordenación de la Edificación (LOE): Capítulos I–IV — agentes responsabilidades garantías",Articulado,5969,,
E2,2,Específico,"CTE — RD 314/2006: Parte I Disposiciones generales (preámbulo + articulado) [INCIDENCIA: primera línea 'TEXTO ORIGINAL']",Articulado,24668,,
E3,3,Específico,"CTE DB-SI Seguridad en caso de incendio — SI1 a SI6 [INCIDENCIA: primera línea 'MINISTERIO']",Articulado,23968,,
E4,4,Específico,"RD 513/2017 — Reglamento de Instalaciones de Protección Contra Incendios (RIPCI)",Articulado,8064,,
E5,5,Específico,"RD 164/2025 — Reglamento de Seguridad Contra Incendios en Establecimientos Industriales (RSCIEI)",Articulado,8827,,
E6,6,Específico,"CTE DB-SUA Seguridad de Utilización y Accesibilidad — SUA1 a SUA9 [INCIDENCIA: primera línea 'MINISTERIO']",Articulado,15143,,
E7,7,Específico,"DA DB-SUA/2 — Adecuación efectiva de condiciones de accesibilidad en edificios existentes",Síntesis,9142,,
E8,8,Específico,"CTE DB-HE Ahorro de Energía — HE0 a HE6 [INCIDENCIA: primera línea 'MINISTERIO']",Articulado,19302,,
E9,9,Específico,"RITE (RD 1027/2007) — Reglamento Instalaciones Térmicas en los Edificios: Cap. I–VI + IT1 IT2 IT3",Articulado,40353,,
E10,10,Específico,"CTE DB-HS Salubridad — HS1 a HS6 [INCIDENCIA: primera línea 'MINISTERIO']",Articulado,59646,,
E11,11,Específico,"CTE DB-SE-AE Acciones en la Edificación: cargas gravitatorias viento nieve acciones sísmicas [INCIDENCIA: detectado Síntesis]",Síntesis,5969,,
E12,12,Específico,"CTE DB-SE-C Cimentaciones: tipos comprobaciones dimensionado control geotécnico [INCIDENCIA: detectado Síntesis]",Síntesis,21797,,
E13,13,Específico,"Ley Foral 10/2010 del derecho a la vivienda en Navarra (I): Título I Disposiciones generales; concepto requisitos calidad",Articulado,14622,,
E14,14,Específico,"Ley Foral 10/2010 del derecho a la vivienda en Navarra (II): Título V bis — viviendas de protección oficial (VPO)",Articulado,5227,,
E15,15,Específico,"Decreto Foral 61/2013 — Actuaciones protegibles en materia de vivienda (I): objeto beneficiarios procedimiento",Articulado,15539,,
E16,16,Específico,"Decreto Foral 61/2013 (II) — Actuaciones protegibles en materia de vivienda: ayudas de alquiler y rehabilitación",Articulado,23185,,
E17,17,Específico,"Decreto Foral 61/2013 (III) — Actuaciones protegibles en materia de vivienda: tablas de precios y condiciones",Articulado,5135,,
E18,18,Específico,"Decreto Foral 142/2004 — Condiciones mínimas de habitabilidad de viviendas de Navarra (I): objeto definiciones",Articulado,4945,,
E19,19,Específico,"Decreto Foral 142/2004 (II) — Condiciones mínimas de habitabilidad: superficies alturas instalaciones",Articulado,6243,,
E20,20,Específico,"Ley Foral 17/2020 de Actividades con Incidencia Ambiental: autorización ambiental integrada y licencia ambiental",Articulado,10226,,
E21,21,Específico,"Decreto Foral 26/2022 — Reglamento de desarrollo de la Ley Foral 17/2020 de Actividades con Incidencia Ambiental",Articulado,8929,,
E22,22,Específico,"Ley Foral 7/2003 de Turismo de Navarra: Título I Disposiciones generales; Título II Cap. I establecimientos turísticos",Articulado,4721,,
E23,23,Específico,"Ley Foral 2/1989 de espectáculos públicos y actividades recreativas: Cap. I Disposiciones generales",Articulado,2804,,
E24,24,Específico,"Decreto Foral 202/2002 — Catálogo de establecimientos espectáculos y actividades recreativas de Navarra",Articulado,3851,,
E25,25,Específico,"RD 1627/1997 — Disposiciones mínimas de Seguridad y Salud en obras de construcción",Articulado,4754,,
E26,26,Específico,"Decreto Foral 108/2014 — Informe de Evaluación de los Edificios (IEE) en Navarra",Articulado,7389,,
E27,27,Específico,"Decreto Foral 23/2011 — Producción y gestión de residuos de construcción y demolición (RCDs) en Navarra",Articulado,8029,,
E28,28,Planeamiento,"RDL 7/2015 — Texto Refundido Ley de Suelo y Rehabilitación Urbana (TRLSRU)",Articulado,21159,,
E29,29,Planeamiento,"Decreto Foral Legislativo 1/2017 — LFOTU (I): disposiciones generales clasificación suelo planeamiento municipal",Articulado,23365,,
E30,30,Planeamiento,"Decreto Foral Legislativo 1/2017 — LFOTU (II): planeamiento de desarrollo estándares sistemas generales",Articulado,10671,,
E31,31,Planeamiento,"Decreto Foral Legislativo 1/2017 — LFOTU (III): ejecución del planeamiento equidistribución urbanización",Articulado,11509,,
E32,32,Planeamiento,"Decreto Foral Legislativo 1/2017 — LFOTU (IV): intervención administrativa licencias disciplina urbanística",Articulado,12038,,
E33,33,Planeamiento,"Decreto Foral Legislativo 1/2017 — LFOTU (V): expropiación venta forzosa patrimonios municipales del suelo",Articulado,3550,,
E34,34,Planeamiento,"Decreto Foral 253/2019 — Registro de Planeamiento de Navarra: objeto organización inscripción de instrumentos",Articulado,5721,,
E35,35,Planeamiento,"Las licencias urbanísticas: obras primera utilización y usos (síntesis temática) [INCIDENCIA: añadido fuera de orden]",Síntesis,1959,,
E36,36,Planeamiento,"Tramitación de obras mediante declaraciones responsables y comunicaciones previas en Navarra [INCIDENCIA: añadido fuera de orden]",Articulado,8171,,
E37,37,Específico,"Ley Foral 14/2005 del Patrimonio Cultural de Navarra: Título I Disposiciones generales; BIC",Articulado,11438,,
E38,38,Específico,"Orden ECO/805/2003 — Normas de valoración de bienes inmuebles y determinados derechos",Articulado,15243,,
E39,39,Específico,"RD 1492/2011 — Reglamento de valoraciones de la Ley de Suelo",Articulado,11819,,
E40,40,Específico,"RD 849/1986 — Reglamento del Dominio Público Hidráulico (DPH)",Articulado,77217,,
E41,41,Específico,"RD 1367/2007 — Zonificación acústica objetivos de calidad acústica y emisiones acústicas (Ley del Ruido)",Articulado,17025,,
E42,42,Específico,"Ley Foral 29/2018 de Lugares de la Memoria Histórica de Navarra: Título I Disposiciones generales",Articulado,3389,,
E43,43,Específico,"Ley Foral 17/2001 del comercio en Navarra: Título II establecimientos comerciales grandes superficies",Articulado,4035,,
E44,44,Específico,"Ley 21/2013 de evaluación ambiental: Título I principios; EAE y EIA",Articulado,32973,,
E45,45,Específico,"Orden TMA/851/2021 — Documento técnico de condiciones básicas de accesibilidad y no discriminación en espacios públicos",Articulado,14707,,
E46,46,Específico,"Ley Foral 4/2022 de Cambio Climático y Transición Energética de Navarra: Título II Cap. I",Articulado,9138,,
E47,47,Específico,"Ley Foral 2/2018 de Contratos Públicos (I): objeto principios preparación y adjudicación",Articulado,16680,,
E48,48,Específico,"Ley Foral 2/2018 de Contratos Públicos (II): publicidad y procedimientos de licitación",Articulado,19103,,
E49,49,Específico,"Ley Foral 2/2018 de Contratos Públicos (III): ejecución de los contratos",Articulado,9574,,
E50,50,Específico,"Ley Foral 2/2018 de Contratos Públicos (IV): régimen jurídico de contratos de obras servicios y concesiones",Articulado,4233,,
E51,51,Planeamiento,"Decreto Foral 45/2011 — Plan de Ordenación Territorial (POT) de Navarra: áreas de especial protección directrices",Articulado,30002,,
E52,52,Planeamiento,"Historia de la evolución urbanística de Pamplona (síntesis temática)",Síntesis,3310,,
E53,53,Planeamiento,"Plan Municipal de Pamplona: estructura documentos y determinaciones principales (síntesis)",Síntesis,4452,,
E54,54,Planeamiento,"Catálogo del Plan Municipal de Pamplona: bienes protegidos grados de protección (síntesis)",Síntesis,4794,,
E55,55,Planeamiento,"Plan Especial de Protección y Reforma Interior (PEPRI) del Casco Antiguo de Pamplona",Articulado,11675,,
E56,56,Planeamiento,"Ordenanza General de Edificación del Ayuntamiento de Pamplona: estructura condiciones generales de edificación",Articulado,10794,,
E57,57,Específico,"Ordenanza de higiene alimentaria del Ayuntamiento de Pamplona: Título Primero — objeto ámbito y definiciones",Articulado,14551,,
E58,58,Planeamiento,"Movilidad en la planificación urbana de Pamplona (síntesis temática)",Síntesis,2753,,
E59,59,Planeamiento,"Ciclo del agua en la planificación urbana de Pamplona (síntesis temática)",Síntesis,2568,,
